iter	Logloss
0	0.6762141418
1	0.6602233124
2	0.6472631836
3	0.6324916077
4	0.6188335419
5	0.6029341125
6	0.5911855316
7	0.5791691589
8	0.5687494659
9	0.5575132751
10	0.5492404175
11	0.5395776367
12	0.5300151062
13	0.5213066864
14	0.512803421
15	0.5065810776
16	0.4966166306
17	0.4878952789
18	0.4819375992
19	0.4747066879
20	0.4689912796
21	0.4628639984
22	0.4582344055
23	0.453612175
24	0.449109726
25	0.4432376862
26	0.4370321274
27	0.4324990845
28	0.4281874466
29	0.4238456726
30	0.419468956
31	0.4158701324
32	0.4109034729
33	0.4069024658
34	0.4041717529
35	0.4004777527
36	0.3976395416
37	0.3939022064
38	0.3898564529
39	0.3867472839
40	0.3839741898
41	0.3803220367
42	0.378086319
43	0.3754681396
44	0.3742802429
45	0.3716326904
46	0.3689247131
47	0.3661414719
48	0.3640148926
49	0.3614137268
50	0.3589360428
51	0.3571759796
52	0.354508667
53	0.3527371216
54	0.3498941803
55	0.348497963
56	0.3466327667
57	0.3452885056
58	0.343484726
59	0.3408705139
60	0.3396102524
61	0.3377780914
62	0.3362818909
63	0.3333951569
64	0.3312620926
65	0.3290978622
66	0.3274308777
67	0.3259918213
68	0.3241449356
69	0.322108078
70	0.321348877
71	0.3194355583
72	0.3176689148
73	0.3162341309
74	0.3145755577
75	0.3129610062
76	0.3117645454
77	0.309954834
78	0.3090174675
79	0.3079914665
80	0.3067887497
81	0.3048922729
82	0.303358345
83	0.3014027786
84	0.2991923714
85	0.2978313446
86	0.296049118
87	0.2950431252
88	0.2939618683
89	0.2929164886
90	0.2911296272
91	0.2898363304
92	0.2889657593
93	0.2883581161
94	0.2870936966
95	0.2851965714
96	0.2844487381
97	0.2831049919
98	0.2816379547
99	0.2804172134
100	0.2790735435
101	0.2776999092
102	0.2769248962
103	0.2755313301
104	0.2748142242
105	0.2739452744
106	0.2735163879
107	0.2724255753
108	0.2711521912
109	0.2697112083
110	0.2685647964
111	0.2675863266
112	0.2671634483
113	0.2654286766
114	0.2641937447
115	0.2632049942
116	0.2626605225
117	0.261997261
118	0.2607221603
119	0.2598147964
120	0.2594390678
121	0.2585200119
122	0.257768364
123	0.2568345642
124	0.2552961731
125	0.2543778419
