iter	Passed	Remaining
0	22	22244
1	39	19939
2	51	17255
3	66	16637
4	85	16950
5	134	22356
6	146	20783
7	159	19806
8	179	19750
9	193	19152
10	204	18400
11	216	17840
12	230	17489
13	240	16939
14	252	16574
15	263	16203
16	274	15881
17	288	15741
18	302	15620
19	314	15396
20	326	15199
21	337	15003
22	348	14817
23	360	14650
24	372	14546
25	384	14388
26	396	14306
27	410	14234
28	422	14134
29	433	14027
30	444	13903
31	455	13787
32	468	13731
33	485	13800
34	512	14131
35	537	14393
36	562	14637
37	586	14860
38	614	15131
39	643	15451
40	668	15635
41	691	15766
42	717	15960
43	737	16029
44	755	16028
45	774	16070
46	798	16195
47	817	16206
48	832	16158
49	846	16088
50	860	16005
51	867	15807
52	873	15612
53	880	15419
54	886	15238
55	893	15058
56	899	14880
57	905	14708
58	911	14536
59	917	14375
60	923	14214
61	931	14099
62	938	13956
63	947	13850
64	954	13726
65	961	13601
66	968	13488
67	976	13382
68	983	13268
69	990	13159
70	997	13057
71	1006	12968
72	1013	12868
73	1018	12744
74	1023	12621
75	1028	12501
76	1033	12382
77	1042	12326
78	1052	12274
79	1062	12214
80	1071	12160
81	1081	12103
82	1090	12045
83	1099	11990
84	1108	11932
85	1121	11921
86	1138	11949
87	1157	11997
88	1169	11973
89	1185	11984
90	1199	11986
91	1215	12000
92	1230	12004
93	1248	12036
94	1262	12028
95	1276	12019
96	1289	12004
97	1304	12004
98	1320	12021
99	1337	12041
100	1351	12025
101	1363	12003
102	1377	11994
103	1393	12005
104	1410	12020
105	1426	12031
106	1442	12038
107	1455	12022
108	1471	12032
109	1487	12037
110	1502	12037
111	1518	12040
112	1537	12064
113	1550	12054
114	1564	12037
115	1576	12010
116	1588	11990
117	1607	12017
118	1626	12044
119	1644	12060
120	1659	12058
121	1674	12050
122	1693	12077
123	1712	12098
124	1731	12123
125	1753	12165
126	1778	12228
127	1801	12275
128	1822	12304
129	1841	12325
130	1867	12387
131	1890	12429
132	1914	12478
133	1941	12546
134	1962	12573
135	1981	12591
136	2009	12658
137	2041	12753
138	2070	12824
139	2090	12842
140	2118	12905
141	2134	12896
142	2150	12890
143	2163	12862
144	2177	12840
145	2190	12813
146	2204	12789
147	2216	12761
148	2229	12730
149	2240	12697
150	2252	12663
151	2264	12631
152	2275	12598
153	2287	12565
154	2300	12540
155	2312	12513
156	2324	12481
157	2336	12452
158	2348	12420
159	2359	12384
160	2370	12354
161	2382	12325
162	2394	12295
163	2405	12264
164	2417	12234
165	2429	12205
166	2440	12174
167	2452	12147
168	2464	12118
169	2475	12087
170	2488	12064
171	2500	12036
172	2511	12007
173	2523	11980
174	2535	11953
175	2547	11925
176	2558	11897
177	2574	11886
178	2610	11974
179	2623	11951
180	2637	11934
181	2655	11937
182	2668	11913
183	2684	11904
184	2696	11877
185	2707	11847
186	2718	11819
187	2729	11790
188	2740	11758
189	2751	11731
190	2769	11729
191	2788	11735
192	2803	11721
193	2819	11714
194	2833	11695
195	2848	11683
196	2863	11672
197	2878	11659
198	2894	11651
199	2909	11636
200	2923	11621
201	2940	11614
202	2955	11603
203	2971	11594
204	2986	11582
205	3002	11574
206	3019	11565
207	3033	11548
208	3048	11538
209	3063	11522
210	3077	11508
211	3112	11569
212	3142	11612
213	3158	11600
214	3176	11598
215	3190	11580
216	3202	11555
217	3215	11532
218	3227	11509
219	3239	11484
220	3251	11461
221	3264	11439
222	3276	11416
223	3290	11399
224	3301	11371
225	3313	11347
226	3326	11328
227	3340	11309
228	3351	11285
229	3364	11264
230	3376	11239
231	3388	11215
232	3398	11188
233	3410	11164
234	3421	11139
235	3433	11115
236	3445	11090
237	3456	11065
238	3472	11055
239	3487	11044
240	3505	11040
241	3521	11030
242	3536	11018
243	3551	11004
244	3566	10991
245	3581	10977
246	3596	10963
247	3612	10952
248	3627	10939
249	3642	10926
250	3657	10912
251	3671	10898
252	3686	10884
253	3700	10869
254	3716	10858
255	3731	10845
256	3746	10832
257	3762	10819
258	3777	10807
259	3792	10794
260	3806	10777
261	3819	10758
262	3833	10742
263	3848	10728
264	3861	10709
265	3874	10690
266	3895	10695
267	3924	10719
268	3975	10802
269	4012	10849
270	4048	10890
271	4071	10896
272	4085	10880
273	4098	10860
274	4113	10844
275	4139	10859
276	4155	10847
277	4172	10835
278	4185	10816
279	4198	10796
280	4211	10776
281	4225	10757
282	4238	10738
283	4251	10718
284	4267	10706
285	4282	10692
286	4296	10675
287	4309	10654
288	4323	10635
289	4339	10623
290	4355	10612
291	4371	10598
292	4389	10591
293	4405	10579
294	4417	10557
295	4430	10536
296	4443	10517
297	4456	10498
298	4469	10479
299	4482	10458
300	4495	10440
301	4508	10419
302	4520	10399
303	4534	10380
304	4547	10362
305	4560	10343
306	4575	10327
307	4588	10308
308	4600	10287
309	4613	10268
310	4626	10249
311	4639	10229
312	4652	10212
313	4665	10192
314	4676	10169
315	4689	10149
316	4700	10128
317	4713	10108
318	4725	10088
319	4737	10067
320	4750	10047
321	4762	10028
322	4776	10010
323	4789	9992
324	4801	9972
325	4814	9954
326	4827	9935
327	4840	9916
328	4852	9896
329	4866	9880
330	4879	9861
331	4894	9847
332	4907	9830
333	4920	9811
334	4932	9791
335	4945	9773
336	4958	9755
337	4971	9736
338	4985	9720
339	4997	9701
340	5012	9687
341	5025	9669
342	5038	9651
343	5054	9638
344	5068	9622
345	5083	9608
346	5097	9592
347	5111	9576
348	5130	9569
349	5150	9565
350	5168	9556
351	5182	9540
352	5195	9522
353	5207	9503
354	5221	9486
355	5234	9468
356	5246	9450
357	5259	9432
358	5272	9414
359	5287	9399
360	5300	9383
361	5314	9365
362	5327	9348
363	5342	9334
364	5355	9317
365	5369	9300
366	5382	9283
367	5395	9266
368	5409	9250
369	5422	9233
370	5435	9215
371	5448	9197
372	5455	9170
373	5462	9142
374	5467	9112
375	5474	9085
376	5481	9057
377	5487	9029
378	5495	9005
379	5501	8976
380	5508	8949
381	5514	8921
382	5520	8893
383	5526	8865
384	5532	8838
385	5539	8812
386	5545	8784
387	5551	8756
388	5557	8729
389	5563	8701
390	5570	8675
391	5576	8648
392	5582	8622
393	5587	8594
394	5593	8567
395	5598	8539
396	5604	8512
397	5610	8485
398	5616	8459
399	5622	8433
400	5627	8406
401	5633	8379
402	5638	8352
403	5643	8325
404	5654	8306
405	5662	8284
406	5669	8261
407	5678	8239
408	5685	8215
409	5693	8192
410	5700	8169
411	5708	8147
412	5716	8125
413	5724	8103
414	5732	8080
415	5741	8060
416	5750	8039
417	5760	8020
418	5769	8000
419	5779	7980
420	5788	7960
421	5797	7940
422	5807	7921
423	5820	7906
424	5831	7890
425	5842	7872
426	5854	7856
427	5866	7839
428	5877	7822
429	5886	7803
430	5900	7790
431	5915	7778
432	5928	7763
433	5941	7748
434	5956	7736
435	5971	7724
436	5986	7712
437	6000	7699
438	6014	7685
439	6030	7675
440	6044	7662
441	6059	7649
442	6074	7637
443	6087	7622
444	6101	7609
445	6116	7597
446	6131	7584
447	6145	7571
448	6159	7558
449	6174	7546
450	6188	7532
451	6204	7522
452	6220	7511
453	6238	7502
454	6252	7489
455	6266	7476
456	6298	7483
457	6317	7475
458	6334	7466
459	6349	7453
460	6362	7438
461	6375	7423
462	6389	7410
463	6403	7396
464	6413	7379
465	6427	7365
466	6437	7347
467	6449	7330
468	6464	7319
469	6483	7311
470	6499	7300
471	6514	7287
472	6530	7275
473	6545	7263
474	6562	7252
475	6577	7241
476	6593	7229
477	6609	7217
478	6629	7210
479	6655	7210
480	6673	7200
481	6692	7191
482	6707	7179
483	6727	7172
484	6745	7162
485	6761	7151
486	6779	7141
487	6797	7132
488	6820	7127
489	6835	7114
490	6850	7101
491	6874	7097
492	6897	7093
493	6918	7087
494	6940	7081
495	6965	7078
496	6987	7071
497	7005	7061
498	7028	7056
499	7051	7051
500	7073	7045
501	7106	7050
502	7130	7045
503	7154	7040
504	7167	7025
505	7182	7012
506	7205	7006
507	7217	6990
508	7228	6973
509	7240	6956
510	7251	6939
511	7263	6922
512	7273	6905
513	7285	6888
514	7296	6871
515	7306	6853
516	7317	6836
517	7327	6817
518	7337	6799
519	7347	6782
520	7356	6763
521	7366	6745
522	7376	6727
523	7386	6709
524	7396	6691
525	7407	6675
526	7420	6659
527	7432	6644
528	7444	6628
529	7455	6611
530	7467	6595
531	7478	6579
532	7488	6561
533	7498	6543
534	7508	6525
535	7517	6507
536	7527	6490
537	7538	6473
538	7547	6455
539	7557	6438
540	7569	6422
541	7582	6407
542	7595	6392
543	7607	6377
544	7620	6362
545	7633	6347
546	7646	6332
547	7658	6317
548	7670	6301
549	7681	6284
550	7692	6268
551	7703	6252
552	7716	6236
553	7726	6220
554	7738	6204
555	7750	6189
556	7761	6173
557	7772	6156
558	7784	6140
559	7794	6124
560	7805	6108
561	7815	6091
562	7826	6075
563	7835	6057
564	7848	6042
565	7859	6026
566	7870	6010
567	7881	5994
568	7892	5978
569	7903	5962
570	7913	5945
571	7925	5930
572	7937	5914
573	7949	5899
574	7960	5883
575	7971	5867
576	7982	5851
577	7995	5837
578	8009	5823
579	8022	5809
580	8036	5795
581	8052	5783
582	8069	5771
583	8083	5757
584	8097	5744
585	8110	5729
586	8125	5716
587	8139	5703
588	8154	5690
589	8168	5676
590	8181	5662
591	8194	5647
592	8208	5633
593	8221	5619
594	8236	5606
595	8250	5592
596	8265	5579
597	8288	5572
598	8311	5564
599	8328	5552
600	8345	5540
601	8362	5528
602	8378	5516
603	8393	5503
604	8407	5488
605	8422	5476
606	8442	5466
607	8457	5452
608	8468	5437
609	8482	5423
610	8497	5410
611	8509	5394
612	8522	5380
